Year,Term,Avg Score (1-5)
2009,Fall,4.2
2010,Spring,4.5
2010,Summer,4.4
2010,Fall,4.3
2011,Spring,4.7
2011,Summer,4.9
2011,Fall,4.1
2012,Spring,4.8
2012,Summer,4.5
2012,Fall,4.1
2013,Spring,4.8
2013,Summer,4.4
2013,Fall,4.9
2014,Spring,4.8
2014,Summer,4
2014,Fall,4
2015,Spring,4.1
2015,Summer,4.4
2015,Fall,4.5
2016,Spring,4.4
2016,Summer,4.2
2016,Fall,4.5
2017,Spring,4.7
2017,Summer,4.7
2017,Fall,4
2018,Spring,4.4
2018,Summer,4.8
2018,Fall,4.5
2019,Spring I,3.9
2019,Spring II,4.4
2019,Summer,4.9
2019,Fall,3.9
2020,COVID,-
2021,Fall,4.8
2022,Spring I,4.9
2022,Summer,4.7
2022,Fall,4.7
2023,Spring I,4.1
2023,Summer,4.8
2023,Fall,4.1
2024,Spring,4.6
2024,Summer,4.4
2024,Fall,4.8
2025,Spring,4.4
2025,Summer,4.8